"Big Lin Disp at CG"
"Time (sec)","Linear Displacement1 (mm)"
0,-60.3342882053439
0.005,-60.3339746371008
0.01,-60.323915615027
0.015,-60.3041416042801
0.02,-60.2747124648817
0.025,-60.2357172152365
0.03,-60.187273681102
0.035,-60.1295280320889
0.04,-60.0626542084763
0.045,-59.9868532417633
0.05,-59.902352473001
0.055,-59.8094046735419
0.06,-59.7082870733917
0.065,-59.5993003028651
0.07,-59.4827672537106
0.075,-59.3590318662904
0.08,-59.2284578497614
0.085,-59.0914273425183
0.09,-58.9483395204028
0.095,-58.799609160377
0.1,-58.6456651674831
0.105,-58.4869490729725
0.11,-58.3239135114889
0.115,-58.1570206851199
0.12,-57.9867408220078
0.125,-57.8135506370152
0.13,-57.637931801696
0.135,-57.4603694305156
0.14,-57.2813505899063
0.145,-57.1013628363422
0.15,-56.9208927891657
0.155,-56.7404247434173
0.16,-56.5604393273995
0.165,-56.3814122091674
0.17,-56.2038128555743
0.175,-56.0281033469325
0.18,-55.8547372497662
0.185,-55.6841585495627
0.19,-55.5168006448544
0.195,-55.3530854034145
0.2,-55.1934222808136
0.205,-55.0382075010774
0.21,-54.8878232987106
0.215,-54.7426372209126
0.22,-54.6030014884077
0.225,-54.4692524129604
0.23,-54.3417098693326
0.235,-54.2206768191795
0.24,-54.106438884166
0.245,-53.9992639654283
0.25,-53.8994019063874
0.255,-53.8070841958669
0.26,-53.7225237084496
0.265,-53.6459144790472
0.27,-53.5774315087348
0.275,-53.5172305990292
0.28,-53.4654482119505
0.285,-53.4222013534107
0.29,-53.387587477706
0.295,-53.3616844111527
0.3,-53.344550293199
0.305,-53.3362235336552
0.31,-53.3367227850127
0.315,-53.3460469291688
0.32,-53.3641750782189
0.325,-53.3910665893382
0.33,-53.4266610941281
0.335,-53.4708785431513
0.34,-53.5236192667221
0.345,-53.5847640533465
0.35,-53.6541742475131
0.355,-53.7316918688269
0.36,-53.817139754736
0.365,-53.9103217293335
0.37,-54.011022800915
0.375,-54.1190093911284
0.38,-54.2340295986759
0.385,-54.3558135006008
0.39,-54.4840734942245
0.395,-54.6185046827785
0.4,-54.7587853077121
0.405,-54.9045772305383
0.41,-55.0555264669131
0.415,-55.2112637754233
0.42,-55.3714053032947
0.425,-55.5355532909126
0.43,-55.7032968366868
0.435,-55.8742127233887
0.44,-56.0478663066441
0.445,-56.2238124657844
0.45,-56.4015966167498
0.455,-56.5807557862018
0.46,-56.760819745446
0.465,-56.9413122021964
0.47,-57.1217520476377
0.475,-57.3016546556609
0.48,-57.4805332305786
0.485,-57.6579001990676
0.49,-57.8332686415441
0.495,-58.0061537576684
0.5,-58.1760743601889
0.505,-58.3425543908975
0.51,-58.5051244520658
0.515,-58.66332334638
0.52,-58.8166996180953
0.525,-58.9648130878873
0.53,-59.1072363736943
0.535,-59.243556389723
0.54,-59.3733758157316
0.545,-59.4963145287106
0.55,-59.6120109891479
0.555,-59.7201235742036
0.56,-59.8203318503088
0.565,-59.912337777966
0.57,-59.9958668418392
0.575,-60.070669099594
0.58,-60.1365201433725
0.585,-60.1932219682583
0.59,-60.2406037426052
0.595,-60.2785224756593
