"Small Bottom Face Disp"
"Time (sec)","Linear Displacement3 (mm)"
0,-37.7909843207011
0.004,-38.0582058446434
0.008,-38.3258731556264
0.012,-38.5933489760159
0.016,-38.8599911100464
0.02,-39.1251540630753
0.024,-39.3881907189084
0.028,-39.6484540697173
0.032,-39.9052989924639
0.036,-40.1580840651819
0.04,-40.4061734159388
0.044,-40.6489385968302
0.048,-40.885760474932
0.052,-41.1160311317772
0.056,-41.3391557626201
0.06,-41.5545545665176
0.064,-41.7616646180854
0.068,-41.9599417116926
0.072,-42.148862168825
0.076,-42.3279245993913
0.08,-42.496651607856
0.084,-42.6545914352614
0.0880000000000001,-42.8013195284485
0.0920000000000001,-42.9364400280948
0.0960000000000001,-43.0595871675582
0.1,-43.1704265749471
0.104,-43.2686564713173
0.108,-43.3540087584351
0.112,-43.4262499901196
0.116,-43.4851822218056
0.12,-43.5306437336218
0.124,-43.5625096229731
0.128,-43.5806922633323
0.132,-43.585141626687
0.136,-43.5758454678444
0.14,-43.5528293695663
0.144,-43.5161566482832
0.148,-43.4659281209119
0.152,-43.4022817340789
0.156,-43.3253920578128
0.16,-43.2354696465251
0.164,-43.1327602708298
0.168,-43.0175440244593
0.172,-42.8901343112182
0.176,-42.7508767175587
0.18,-42.600147776972
0.184,-42.4383536329516
0.188,-42.265928607804
0.192,-42.0833336850446
0.196,-41.8910549135274
0.2,-41.6896017418059
0.204,-41.4795052915111
0.208,-41.2613165787541
0.212,-41.0356046927165
0.216,-40.8029549406775
0.22,-40.563966968743
0.224,-40.3192528674909
0.228,-40.0694352716176
0.232,-39.8151454624845
0.236,-39.5570214822018
0.24,-39.2957062675611
0.244,-39.0318458117493
0.248,-38.7660873613314
0.252,-38.4990776554962
0.256,-38.2314612140238
0.26,-37.9638786798469
0.264,-37.6969652214668
0.268,-37.4313489998416
0.272,-37.1676497037007
0.276,-36.9064771565621
0.28,-36.6484299980505
0.284,-36.3940944414301
0.288,-36.1440431085977
0.292,-35.8988339431241
0.296,-35.6590092013015
0.3,-35.4250945205485
0.304,-35.1975980639576
0.308,-34.9770097392395
0.312,-34.7638004898356
0.316,-34.558421655531
0.32,-34.3613043995218
0.324,-34.1728591985518
0.328,-33.9934753924671
0.332,-33.8235207893144
0.336,-33.6633413219504
0.34,-33.513260752026
0.344,-33.3735804171624
0.348,-33.2445790171423
0.352,-33.1265124350026
0.356,-33.0196135890223
0.36,-32.9240923117617
