"Small Bottom Face Disp"
"Time (sec)","Linear Displacement3 (mm)"
0,-37.7909843207011
0.005,-38.0743519012232
0.01,-38.3581775710475
0.015,-38.6417010020276
0.02,-38.9241558934788
0.025,-39.2047721546404
0.03,-39.4827781683036
0.035,-39.757403127149
0.04,-40.0278794333913
0.045,-40.293445151439
0.05,-40.5533465024692
0.055,-40.8068403890917
0.06,-41.0531969376513
0.065,-41.2917020451843
0.07,-41.5216599176338
0.075,-41.7423955856175
0.08,-41.9532573838558
0.085,-42.153619380297
0.09,-42.3428837410246
0.095,-42.520483017198
0.1,-42.6858823405607
0.105,-42.8385815144441
0.11,-42.9781169877003
0.115,-43.1040636996025
0.12,-43.2160367844569
0.125,-43.3136931254629
0.13,-43.3967327482395
0.135,-43.4649000453851
0.14,-43.517984824462
0.145,-43.5558231728746
0.15,-43.5782981342379
0.155,-43.5853401920078
0.16,-43.5769275573442
0.165,-43.55308625938
0.17,-43.5138900374031
0.175,-43.4594600355035
0.18,-43.3899643017241
0.185,-43.3056170947778
0.19,-43.2066780026916
0.195,-43.0934508788786
0.2,-42.9662826022666
0.205,-42.8255616691861
0.21,-42.6717166257364
0.215,-42.505214350294
0.22,-42.3265581967009
0.225,-42.1362860094531
0.23,-41.9349680229111
0.235,-41.7232046571454
0.24,-41.5016242235314
0.245,-41.2708805535858
0.25,-41.0316505648161
0.255,-40.7846317775038
0.26,-40.5305397963862
0.265,-40.270105771116
0.27,-40.0040738491804
0.275,-39.7331986346467
0.28,-39.458242665672
0.285,-39.1799739231785
0.29,-38.8991633824595
0.295,-38.6165826187468
0.3,-38.3330014769565
0.305,-38.0491858149336
0.31,-37.7658953285643
0.315,-37.4838814661127
0.32,-37.2038854380916
0.325,-36.9266363279041
0.33,-36.6528493074007
0.335,-36.3832239604136
0.34,-36.1184427162506
0.345,-35.8591693940842
0.35,-35.6060478581614
0.355,-35.3597007827924
0.36,-35.1207285251822
0.365,-34.8897081033269
0.37,-34.667192275445
0.375,-34.4537087167387
0.38,-34.2497592886934
0.385,-34.055819395636
0.39,-33.8723374228712
0.395,-33.6997342504194
0.4,-33.5384028361742
0.405,-33.3887078621926
0.41,-33.2509854378165
0.415,-33.1255428534013
0.42,-33.0126583785919
0.425,-32.9125810993309
0.43,-32.8255307881026
0.435,-32.751697802312
0.44,-32.6912430061477
0.445,-32.6442977117906
0.45,-32.6109636363908
0.455,-32.5913128718353
0.46,-32.5853878649688
0.465,-32.5932014065895
0.47,-32.6147366282265
0.475,-32.6499470063988
0.48,-32.6987563747515
0.485,-32.7610589451579
0.49,-32.8367193395564
0.495,-32.9255726349519
0.5,-33.027424424641
0.505,-33.1420508993206
0.51,-33.2691989522912
0.515,-33.4085863134692
0.52,-33.5599017173709
0.525,-33.7228051106099
0.53,-33.8969279047624
0.535,-34.0818732806872
0.54,-34.2772165505419
0.545,-34.4825055837973
0.55,-34.6972613035318
0.555,-34.9209782591615
0.56,-35.1531252815505
0.565,-35.3931462261308
0.57,-35.6404608092508
0.575,-35.8944655424688
0.58,-36.154534768908
0.585,-36.4200218051064
0.59,-36.6902601910244
0.595,-36.9645650500318
0.6,-37.242234559783
0.605,-37.5225515339192
0.61,-37.8047851135221
0.615,-38.0881925661859
0.62,-38.3720211895019
0.625,-38.6555103146561
0.63,-38.9378934047585
0.635,-39.2184002414456
0.64,-39.496259192259
0.645,-39.7706995502969
0.65,-40.0409539366908
0.655,-40.3062607555729
0.66,-40.565866690399
0.665,-40.8190292297671
0.67,-41.0650192102502
0.675,-41.303123363242
0.68,-41.5326468523959
0.685,-41.7529157879438
0.690000000000001,-41.9632797039947
0.695000000000001,-42.1631139848489
0.700000000000001,-42.3518222264196
0.705000000000001,-42.5288385190228
0.710000000000001,-42.6936296380872
0.715000000000001,-42.8456971297348
0.720000000000001,-42.9845792786912
0.725000000000001,-43.1098529465978
0.730000000000001,-43.2211352695059
0.735000000000001,-43.3180852041305
0.740000000000001,-43.4004049133269
0.745000000000001,-43.4678409822049
0.750000000000001,-43.5201854573241
0.755000000000001,-43.5572767024919
0.760000000000001,-43.5790000658195
0.765000000000001,-43.585288353862
0.770000000000001,-43.5761221098725
0.775000000000001,-43.551529694427
0.780000000000001,-43.5115871679117
0.785000000000001,-43.456417975613
0.790000000000001,-43.386192437382
0.795000000000001,-43.3011270450697
0.800000000000001,-43.201483572129
0.805000000000001,-43.0875680009409
0.810000000000001,-42.9597292745491
0.815000000000001,-42.8183578805566
0.820000000000001,-42.6638842759495
0.825000000000001,-42.4967771625583
0.830000000000001,-42.3175416237338
0.835000000000001,-42.1267171335939
0.840000000000001,-41.9248754508946
0.845000000000001,-41.7126184101658
0.850000000000001,-41.4905756232456
0.855000000000001,-41.2594021047234
0.860000000000001,-41.0197758350716
0.865000000000001,-40.7723952753934
0.870000000000001,-40.517976847748
0.875000000000001,-40.2572523949272
0.880000000000001,-39.990966633352
0.885000000000001,-39.7198746124367
0.890000000000001,-39.4447391933363
0.895000000000001,-39.1663285594486
0.900000000000001,-38.8854137704024
0.905000000000001,-38.6027663705265
0.910000000000001,-38.3191560619707
0.915000000000001,-38.0353484517589
0.920000000000001,-37.7521028810912
0.925000000000001,-37.4701703442024
0.930000000000001,-37.1902915030371
0.935000000000001,-36.9131948029204
0.940000000000001,-36.6395946933209
0.945000000000001,-36.3701899567107
0.950000000000001,-36.1056621474563
0.955000000000001,-35.8466741416233
0.960000000000001,-35.5938687975719
0.965000000000001,-35.3478677262597
0.970000000000001,-35.1092701692682
0.975000000000001,-34.8786519817404
0.980000000000001,-34.6565647166622
0.985000000000001,-34.4435348062532
0.990000000000001,-34.2400628356493
0.995000000000001,-34.0466229035744
1,-33.863662064306
1.005,-33.6915998449433
1.01,-33.5308278317913
1.015,-33.3817093195689
1.02,-33.2445790171423
1.025,-33.1197428035659
1.03,-33.0074775283803
1.035,-32.9080308503657
1.04,-32.8216211092744
1.045,-32.7484372254581
1.05,-32.688638622767
1.055,-32.6423551706057
1.06,-32.6096871415976
1.065,-32.5907051819127
1.07,-32.5854502919484
1.075,-32.5939338157223
1.08,-32.6161374380208
1.085,-32.652013189017
1.09,-32.7014834568241
1.095,-32.7644410090691
1.1,-32.8407490253117
1.105,-32.9302411427607
1.11,-33.03272151838
1.115,-33.1479649110702
1.12,-33.2757167881639
1.125,-33.4156934609727
1.13,-33.5675822545664
1.135,-33.7310417173462
1.14,-33.9057018762764
1.145,-34.0911645438742
1.15,-34.2870036832002
1.155,-34.4927658371572
1.16,-34.7079706283707
1.165,-34.9321113358023
1.17,-35.1646555540253
1.175,-35.4050459407751
1.18,-35.6527010579706
1.185,-35.9070163108957
1.19,-36.1673649896273
1.195,-36.433099416105
1.2,-36.7035521994693
1.205,-36.9780376014442
1.21,-37.2558530126276
1.215,-37.536280539581
1.22,-37.8185887015909
1.225,-38.1020342349175
1.23,-38.385864001271
1.235,-38.6693169961645
1.24,-38.951626451707
1.245,-39.2320220273293
1.25,-39.5097320808925
1.255,-39.7839860116314
1.26,-40.0540166654379
1.265,-40.3190627921106
